instnm,Applicants total (ADM2015),
Johnson University,417,
Johnson University Florida,273,
Judson College,329,
Judson University,653,
Juniata College,2604,
Kalamazoo College,2455,
Kansas City Art Institute,698,
Kansas State University,9178,
Kansas Wesleyan University,818,
KD Conservatory College of Film and Dramatic Arts,133,
Kean University,7944,
Keene State College,5674,
Kendall College,176,
Kennesaw State University,14215,
Kenrick Glennon Seminary,16,
Kent State University at Kent,15772,
Kentucky Christian University,1185,
Kentucky Mountain Bible College,51,
Kentucky State University,4768,
Kentucky Wesleyan College,1073,
Kenyon College,6644,
Kettering College,68,
Kettering University,2478,
Keuka College,2290,
Key College,10,
Keystone College,999,
King University,843,
King's College,3244,
King's College,669,
Kirksville Area Technical Center,49,
Knox College,3445,
Kutztown University of Pennsylvania,8023,
Kuyper College,215,
La Roche College,1167,
La Salle University,6057,
La Sierra University,4328,
Laboure College,21,
Lafayette College,7465,
LaGrange College,1530,
Laguna College of Art and Design,322,
Lake Erie College,1712,
Lake Forest College,3373,
Lake Superior State University,1615,
Lakeland University,1017,
Lamar University,4529,
Lancaster Bible College,429,
Lander University,2614,
Landmark College,487,
Lane College,4729,
Lasell College,3171,
Laurel Business Institute,146,
Laurel Technical Institute,97,
Laurel Technical Institute,90,
Lawrence Technological University,2147,
Lawrence University,3014,
Le Moyne College,6877,
Le Moyne-Owen College,527,
Lebanon Valley College,3329,
Lee University,2141,
Lees-McRae College,1400,
Lehigh University,12843,
Lenoir-Rhyne University,3994,
Lesley University,3182,
LeTourneau University,2203,
Lewis & Clark College,7368,
Lewis University,5728,
Lewis-Clark State College,1074,
Lex La-Ray Technical Center,14,
Liberty University,48936,
Life Pacific College,224,
Life University,301,
LIM College,1070,
Limestone College,3115,
Lincoln Christian University,250,
Lincoln College,1343,
Lincoln Memorial University,2306,
Lincoln University,3318,
Lindenwood University,4156,
Linfield College-McMinnville Campus,2330,
Lipscomb University,3311,
LIU Brooklyn,7289,
LIU Post,6371,
Livingstone College,4574,
Lock Haven University,3415,
Longwood University,4716,
Longy School of Music of Bard College,33,
Loras College,1250,
Louisburg College,1191,
Louisiana College,756,
Louisiana Culinary Institute,132,
Louisiana State University and Agricultural & Mechanical College,17429,
Louisiana State University-Alexandria,2279,
Louisiana State University-Shreveport,642,
Louisiana Tech University,6378,
Lourdes University,692,
Loyola Marymount University,13288,
Loyola University Chicago,21555,
Loyola University Maryland,13867,
Loyola University New Orleans,3591,
Lubbock Christian University,867,
Luther College,3896,
Luther Rice College & Seminary,13,
Lycoming College,1845,
Lynchburg College,4916,
Lyndon State College,1180,
Lynn University,3770,
Lyon College,1607,
Macalester College,6030,
Machzikei Hadath Rabbinical College,34,
MacMurray College,959,
Madison Oneida BOCES-Practical Nursing Program,13,
Madonna University,972,
Maharishi University of Management,84,
Maine College of Art,411,
Maine College of Health Professions,12,
Maine Maritime Academy,769,
Malone University,1168,
Manchester University,2949,
Manhattan Christian College,202,
Manhattan College,8313,
Manhattan School of Music,877,
Manhattanville College,4033,
Manor College,1115,
Mansfield University of Pennsylvania,1918,
Maranatha Baptist University,338,
Maria College of Albany,306,
Marian University,2046,
Marian University,1174,
Marietta College,2863,
Marion Military Institute,904,
Marion S Whelan School of Nursing of Geneva General Hospital,2,
Marist College,9213,
Marlboro College,144,
Marquette University,20486,
Mars Hill University,3010,
Marshall University,4911,
Martin Luther College,262,
Mary Baldwin University,2774,
Marygrove College,1148,
Maryland Institute College of Art,3818,
Marylhurst University,5,
Marymount Manhattan College,4459,
Marymount University,2684,
Maryville College,1701,
Maryville University of Saint Louis,1457,
Marywood University,2273,
Massachusetts College of Art and Design,1273,
Massachusetts College of Liberal Arts,2091,
Massachusetts Institute of Technology,18306,
Massachusetts Maritime Academy,825,
Mauna Loa Helicopters,16,
McDaniel College,2864,
McKendree University,1904,
McMurry University,1378,
McNally Smith College of Music,374,
McNeese State University,3002,
McPherson College,656,
MCPHS University,4867,
Medaille College,1321,
Medical Professional Institute,10,
Memorial College of Nursing,5,
Menlo College,2445,
Mercer University,4559,
Mercy College,5573,
Mercy College of Health Sciences,76,
Mercy College of Ohio,251,
Mercy Hospital School of Nursing,4,
Mercy Hospital School of Practical Nursing-Plantation General Hospital,5,
Mercyhurst University,2749,
Meredith College,1721,
Merkaz Bnos-Business School,129,
Merrimack College,7751,
Mesivta Keser Torah,2,
Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,8,
Mesivta Torah Vodaath Rabbinical Seminary,10,
Mesivtha Tifereth Jerusalem of America,24,
Messenger College,103,
Messiah College,2469,
Methodist College,78,
Methodist University,4480,
Metropolitan College of New York,333,
Metropolitan State University,476,
Metropolitan State University of Denver,6052,
Miami University-Oxford,27454,
MIAT College of Technology,246,
Michigan Jewish Institute,1621,
Michigan State University,35300,
Michigan Technological University,5386,
Mid-Atlantic Christian University,224,
MidAmerica Nazarene University,898,
Middle Georgia State University,3160,
Middle Tennessee State University,8164,
Middlebury College,8891,
Midland University,1745,
Midstate College,19,
Midway University,397,
Midwestern Baptist Theological Seminary,58,
Midwestern State University,2854,
Midwives College of Utah,10,
Mifflin County Academy of Science and Technology,48,
Millersville University of Pennsylvania,6053,
Milligan College,603,
Millikin University,3540,
Mills College,893,
Millsaps College,3657,
Milwaukee Career College,46,
Milwaukee Institute of Art & Design,684,
Milwaukee School of Engineering,2326,
Minerva Schools at Keck Graduate Institute,9032,
Minneapolis College of Art and Design,556,
Minnesota State University Moorhead,2559,
Minnesota State University-Mankato,10134,
Minot State University,840,
Mirrer Yeshiva Cent Institute,70,
Misericordia University,1956,
Mississippi College,1958,
Mississippi State University,12446,
Mississippi University for Women,671,
Mississippi Valley State University,2310,
Missouri Baptist University,900,
Missouri Southern State University,2333,
Missouri State University-Springfield,8672,
Missouri University of Science and Technology,3592,
Missouri Valley College,2879,
Mitchell College,787,
Modern Hairstyling Institute-Arecibo,105,
Modern Hairstyling Institute-Bayamon,335,
Modern Hairstyling Institute-Carolina,218,
Modern Technology School,165,
Molloy College,3550,
Monmouth College,2657,
Monmouth University,7691,
Monongalia County Technical Education Center,15,
Monroe College,4146,
Montana Bible College,35,
Montana State University,14816,
Montana State University-Northern,473,
Montana Tech of the University of Montana,687,
Montclair State University,11990,
Monteclaro Escuela de Hoteleria y Artes Culinarias,8,
Montessori Education Center of the Rockies,13,
Montreat College,857,
Moody Bible Institute,1061,
Moore College of Art and Design,357,
Moore Norman Technology Center,748,
Moravian College,2737,
Morehead State University,4888,
Morehouse College,2288,
Morgan State University,5090,
Morningside College,4556,
Morris County Vocational School District,32,
Morrisville State College,3935,
Morthland College,196,
Motoring Technical Training Institute,231,
MotoRing Technical Training Institute,17,
Mount Aloysius College,1485,
Mount Angel Seminary,15,
Mount Carmel College of Nursing,175,
Mount Holyoke College,3858,
Mount Ida College,2319,
Mount Marty College,408,
Mount Mary University,764,
Mount Mercy University,1108,
Mount Saint Joseph University,2187,
Mount Saint Mary College,3625,
Mount Saint Mary's University,2407,
Mount St Mary's University,6113,
Mount Vernon Nazarene University,1059,
MTI College,270,
Muhlenberg College,5015,
Multnomah University,214,
Murray State University,4874,
Musicians Institute,526,
Muskingum University,1977,
Naropa University,181,
National Conservatory of Dramatic Arts,3,
National Latino Education Institute,33,
National Louis University,243,
National University College-Arecibo,506,
National University College-Bayamon,1437,
National University College-Caguas,248,
National University College-Ponce,469,
National University College-Rio Grande,567,
Nazareth College,3677,
Nebraska Methodist College of Nursing & Allied Health,178,
Nebraska Wesleyan University,1689,
Neighborhood Playhouse School of the Theater,124,
Ner Israel Rabbinical College,133,
Neumann University,2253,
Neumont University,724,
Nevada State College,1110,
New Castle School of Trades,380,
New College of Florida,1655,
New England College,4987,
New England School of Photography,71,
New Hope Christian College-Eugene,54,
New Jersey City University,2789,
New Jersey Institute of Technology,6045,
New Mexico Institute of Mining and Technology,1628,
New Mexico Military Institute,835,
New Mexico State University-Main Campus,7427,
New York College of Health Professions,66,
New York Conservatory for Dramatic Arts,250,
New York Institute of Technology,8566,
New York School of Interior Design,155,
New York University,57727,
Newberry College,1163,
Newbury College,2593,
Newman University,1267,
Newschool of Architecture and Design,108,
Niagara University,2923,
Nicholls State University,2399,
Nichols College,2275,
Norfolk State University,2445,
North Carolina A & T State University,6010,
North Carolina Central University,7651,
North Carolina State University at Raleigh,21364,
North Carolina Wesleyan College,3102,
North Central College,7307,
North Central University,914,
North Dakota State University-Main Campus,5311,
North Greenville University,1613,
North Park University,3901,
North-West College-West Covina,197,
Northeast Catholic College,58,
Northeastern Illinois University,4499,
Northeastern State University,1559,
Northeastern University,50523,
Northern Arizona University,28937,
Northern Illinois University,17099,
Northern Kentucky University,7397,
Northern Michigan University,5820,
Northern State University,1314,
Northern Tier Career Center,25,
Northland College,852,
Northwest Christian University,369,
Northwest College of Art & Design,95,
Northwest Missouri State University,5009,
Northwest Nazarene University,1589,
Northwest University,766,
Northwestern College,1234,
Northwestern College-Chicago Campus,126,
Northwestern College-Southwestern Campus,343,
Northwestern Oklahoma State University,862,
Northwestern State University of Louisiana,3231,
Northwestern University,32122,
Northwood University,2192,
Northwood University-Texas,7,
Norwich University,3538,
Nossi College of Art,256,
Notre Dame College,2256,
Notre Dame de Namur University,1710,
Notre Dame of Maryland University,834,
Nova Southeastern University,4333,
Nyack College,489,
O'More College of Design,142,
Oak Hills Christian College,134,
Oakland City University,832,
Oakland University,10162,
Oakwood University,1992,
Oberlin College,7815,
Occidental College,5911,
Oglethorpe University,2768,
Ohio Dominican University,1410,
Ohio Northern University,3108,
Ohio State University-Main Campus,40240,
Ohio University-Main Campus,21000,
Ohio Valley University,882,
Ohio Wesleyan University,3949,
Ohr Hameir Theological Seminary,5,
Oklahoma Baptist University,4816,
Oklahoma Christian University,2597,
Oklahoma City University,1562,
Oklahoma Panhandle State University,634,
Oklahoma State University-Main Campus,12501,
Oklahoma Wesleyan University,2092,
Old Dominion University,9510,
Olivet College,3378,
Olivet Nazarene University,4133,
Omaha School of Massage and Healthcare of Herzing University,25,
Oral Roberts University,2339,
Orange Ulster BOCES-Practical Nursing Program,28,
Oregon College of Art and Craft,147,
Oregon Institute of Technology,1487,
Oregon State University,14058,
Oregon State University-Cascades Campus,208,
Orleans Niagara BOCES-Practical Nursing Program,101,
Orleans Technical College,195,
Otis College of Art and Design,1017,
Ottawa University-Ottawa,1002,
Otterbein University,2917,
Ouachita Baptist University,1753,
Our Lady of the Lake College,313,
Our Lady of the Lake University,3113,
Pace University-New York,17038,
Pacific Islands University,5,
Pacific Lutheran University,3623,
Pacific Northwest College of Art,295,
Pacific Rim Christian University,90,
Pacific Union College,2041,
Pacific University,3004,
Paine College,3790,
Palm Beach Atlantic University,1504,
Palmer College of Chiropractic,1,
Park University,998,
Paroba College of Cosmetology,47,
Paul Quinn College,3242,
Paul Smiths College of Arts and Science,1451,
Penn Commercial Business/Technical School,219,
Pennsylvania Academy of the Fine Arts,199,
Pennsylvania College of Art and Design,404,
Pennsylvania College of Health Sciences,660,
Pennsylvania State University-Main Campus,53472,
Pennsylvania State University-Penn State Abington,3946,
Pennsylvania State University-Penn State Altoona,5738,
Pennsylvania State University-Penn State Beaver,753,
Pennsylvania State University-Penn State Berks,2413,
Pennsylvania State University-Penn State Brandywine,1265,
Pennsylvania State University-Penn State DuBois,394,
Pennsylvania State University-Penn State Erie-Behrend College,4079,
Pennsylvania State University-Penn State Fayette- Eberly,659,
Pennsylvania State University-Penn State Greater Allegheny,594,
Pennsylvania State University-Penn State Harrisburg,3938,
Pennsylvania State University-Penn State Hazleton,763,
Pennsylvania State University-Penn State Lehigh Valley,843,
Pennsylvania State University-Penn State Mont Alto,688,
Pennsylvania State University-Penn State New Kensington,508,
Pennsylvania State University-Penn State Schuylkill,690,
Pennsylvania State University-Penn State Shenango,154,
Pennsylvania State University-Penn State Wilkes-Barre,411,
Pennsylvania State University-Penn State Worthington Scranton,733,
Pennsylvania State University-Penn State York,1397,
Pennsylvania State University-World Campus,1125,
Pepperdine University,9923,
Pfeiffer University,1627,
Philadelphia University,4129,
Phillips School of Nursing at Mount Sinai Beth Israel,8,
Piedmont College,1135,
Piedmont International University,219,
Pine Manor College,764,
Pittsburg State University,2697,
Pittsburgh Career Institute,126,
Pittsburgh Institute of Mortuary Science Inc,126,
Pittsburgh Technical College,2294,
Pitzer College,4149,
Platt College-Aurora,3,
Plaza College,1458,
Plymouth State University,6626,
Point Loma Nazarene University,2809,
Point Park University,4021,
Point University,862,
Pomeroy College of Nursing at Crouse Hospital,69,
Pomona College,8099,
Pontifical Catholic University of Puerto Rico-Arecibo,391,
Pontifical Catholic University of Puerto Rico-Mayaguez,667,
Pontifical Catholic University of Puerto Rico-Ponce,2462,
Pontifical College Josephinum,17,
Portfolio Center,7,
Portland Actors Conservatory,38,
Portland State University,6299,
Post University,2401,
Prairie View A & M University,5067,
Pratt Institute-Main,5571,
Presbyterian College,2072,
Prescott College,328,
Presentation College,305,
Princeton University,27290,
Principia College,159,
Prism Career Institute-Cherry Hill,137,
Prism Career Institute-Philadelphia,744,
Prism Career Institute-West Atlantic City,97,
Professional Skills Institute,91,
Providence Christian College,290,
Providence College,10215,
Puerto Rico Conservatory of Music,102,
Purdue University-Calumet Campus,2669,
Purdue University-Main Campus,45264,
Purdue University-North Central Campus,3432,
Putnam Westchester BOCES-Practical Nursing Program,87,
Queens University of Charlotte,2111,
Quincy University,1553,
Quinnipiac University,22745,
Rabbi Jacob Joseph School,25,
Rabbinical Academy Mesivta Rabbi Chaim Berlin,31,
Rabbinical College Beth Shraga,22,
Rabbinical College of America,57,
Rabbinical College of Ch'san Sofer New York,3,
Rabbinical College of Long Island,45,
Rabbinical College of Ohr Shimon Yisroel,62,
Rabbinical College Telshe,9,
Rabbinical Seminary of America,92,
Radford University,7617,
Ramapo College of New Jersey,7106,
Randall University,249,
Randolph College,1207,
Randolph Technical Center,50,
Randolph-Macon College,2968,
Raritan Valley Community College,2325,
Reading Hospital School of Health Sciences,80,
Reed College,5396,
Regent University,1699,
Regis College,2023,
Regis University,5493,
Reinhardt University,1158,
Remington College-Baton Rouge Campus,49,
Remington College-Cleveland Campus,245,
Remington College-Columbia Campus,149,
Remington College-Dallas Campus,442,
Remington College-Fort Worth Campus,299,
Remington College-Heathrow Campus,108,
Remington College-Honolulu Campus,286,
Remington College-Houston Southeast Campus,197,
Remington College-Lafayette Campus,195,
Remington College-Little Rock Campus,10,
Remington College-Memphis Campus,386,
Remington College-Mobile Campus,248,
Remington College-Nashville Campus,227,
Remington College-North Houston Campus,290,
Remington College-Shreveport Campus,156,
Rensselaer Polytechnic Institute,17752,
Rhode Island College,4732,
Rhode Island School of Design,2425,
Rhodes College,4666,
Rice University,17951,
Richard Bland College of William and Mary,2122,
Rider University,9851,
Ringling College of Art and Design,1492,
Rio Grande Bible Institute,27,
Ripon College,1874,
Riverside College of Health Careers,1,
Rivier University,1748,
Roane State Community College,2159,
Roanoke College,4325,
Robert Morris University,6579,
Robert Morris University Illinois,2967,
Roberts Wesleyan College,1330,
Rochester College,843,
Rochester Institute of Technology,18598,
Rockford University,2250,
Rockhurst University,2774,
Rocky Mountain College,1423,
Roger Williams University,9597,
Rogers State University,1057,
Rolf Institute of Structural Integration,3,
Rolla Technical Institute/Center,58,
Rollins College,4922,
Roosevelt University,3308,
Rose-Hulman Institute of Technology,4331,
Rosemont College,875,
Rowan University,12289,
Rust College,5307,
Rutgers University-Camden,7518,
Rutgers University-New Brunswick,35340,
Rutgers University-Newark,11646,
SABER College,164,
Sacred Heart Major Seminary,4,
Sacred Heart University,9259,
Saginaw Valley State University,7025,
Saint Ambrose University,2546,
Saint Anselm College,3955,
Saint Augustine's University,2581,
Saint Catharine College,462,
Saint Cloud State University,6110,
Saint Edward's University,5034,
Saint Elizabeth College of Nursing,18,
Saint Elizabeth School of Nursing,14,
Saint Francis University,1932,
Saint John Fisher College,4586,
Saint John Vianney College Seminary,7,
Saint Johns University,1609,
Saint Joseph's College of Maine,1390,
Saint Joseph's University,8325,
Saint Josephs College,1596,
Saint Leo University,3865,
Saint Louis Christian College,72,
Saint Louis University,13464,
Saint Martin's University,945,
Saint Mary's College,1722,
Saint Mary's College of California,3773,
Saint Mary's University of Minnesota,1447,
Saint Mary-of-the-Woods College,283,
Saint Michael's College,4767,
Saint Norbert College,3814,
Saint Peter's University,4528,
Saint Vincent College,1908,
Saint Xavier University,7883,
Salem College,903,
Salem State University,5164,
Saline County Career Center,15,
Salisbury University,8360,
Salve Regina University,4548,
Sam Houston State University,9242,
Samaritan Hospital School of Nursing,3,
Samford University,3196,
San Diego Christian College,433,
San Diego Culinary Institute,65,
San Diego State University,59051,
San Francisco Art Institute,563,
San Francisco Conservatory of Music,362,
San Francisco State University,35122,
San Jose State University,30584,
San Juan Bautista School of Medicine,17,
Santa Clara University,14899,
Santa Fe University of Art and Design,642,
Sarah Lawrence College,2814,
Savannah College of Art and Design,9841,
Savannah State University,2950,
School of Automotive Machinists & Technology,29,
School of Professional Horticulture  New York Botanical Garden,1,
School of the Art Institute of Chicago,4210,
School of the Museum of Fine Arts at Tufts University,305,
School of Visual Arts,3648,
Schreiner University,943,
Scripps College,2613,
Seattle Pacific University,5227,
Seattle University,7806,
Seminar L'moros Bais Yaakov,529,
Seton Hall University,14108,
Seton Hill University,2093,
Sewanee-The University of the South,4509,
Sh'or Yoshuv Rabbinical College,63,
Shasta Bible College and Graduate School,11,
Shaw University,5030,
Shawsheen Valley School of Practical Nursing,9,
Shenandoah University,2044,
Shepherd University,1648,
Shepherds College,38,
Shiloh University,2,
Shimer College,49,
Shippensburg University of Pennsylvania,6126,
Shorter University,1622,
Shorter University-College of Adult & Professional Programs,27,
Siena College,6905,
Siena Heights University,1777,
Sierra Nevada College,554,
Signature Healthcare Brockton Hospital School of Nursing,12,
Silver Lake College of the Holy Family,413,
Simmons College,4575,
Simpson College,1271,
Simpson University,623,
Skidmore College,8508,
Slippery Rock University of Pennsylvania,5781,
Smith College,5006,
Soka University of America,451,
Sonoma State University,15265,
South Carolina State University,2445,
South College-Asheville,30,
South Dakota School of Mines and Technology,1479,
South Dakota State University,5060,
South Hills School of Business & Technology,239,
Southeast Missouri Hospital College of Nursing and Health Sciences,225,
Southeast Missouri State University,4622,
Southeastern Baptist Theological Seminary,126,
Southeastern Bible College,18,
Southeastern Louisiana University,3718,
Southeastern Oklahoma State University,1051,
Southeastern Technical Institute,72,
Southeastern University,3823,
Southern Arkansas University Main Campus,2875,
Southern California Institute of Architecture,214,
Southern Connecticut State University,8113,
Southern Illinois University-Carbondale,10667,
Southern Illinois University-Edwardsville,7786,
Southern Methodist University,12992,
Southern New Hampshire University,3848,
Southern Oregon University,2411,
Southern University and A & M College,2505,
Southern University at New Orleans,1795,
Southern Utah University,8387,
Southern Vermont College,499,
Southern Virginia University,1755,
Southern Wesleyan University,874,
Southern Westchester BOCES-Practical Nursing Program,396,
Southside Regional Medical Center Professional Schools,2,
Southwest Baptist University,1857,
Southwest Minnesota State University,2013,
Southwest Tennessee Community College,5416,
Southwestern Adventist University,1476,
Southwestern Assemblies of God University,1459,
Southwestern Christian University,440,
Southwestern College,362,
Southwestern Oklahoma State University,2084,
Southwestern University,3736,
Spalding University,1469,
Spartanburg Methodist College,1261,
Spelman College,5051,
Spring Arbor University,1546,
Spring Hill College,7393,
Springfield College,4112,
St Andrews University,895,
St Bonaventure University,2996,
St Catherine University,2999,
St Francis College,2747,
St John's University-New York,36086,
St Joseph's College of Nursing at St Joseph's Hospital Health Center,18,
St Lawrence University,5876,
St Louis College of Health Careers-Fenton,89,
St Louis College of Pharmacy,451,
St Luke's College,15,
St Margaret School of Nursing,4,
St Mary's College of Maryland,1675,
St Olaf College,7571,
St Thomas University,1570,
St Vincent's College,75,
St. Gregory's University,382,
St. John's College,332,
St. John's College,177,
St. Joseph's College-New York,3220,
St. Mary's University,5832,
St. Thomas Aquinas College,1918,
Stanbridge College,712,
Standard Healthcare Services-College of Nursing,99,
Stanford University,42497,
State University of New York at New Paltz,14655,
Stephen F Austin State University,11382,
Stephens College,1220,
Sterling College,105,
Sterling College,1118,
Stetson University,11216,
Stevens Institute of Technology,6540,
Stevens-The Institute of Business & Arts,11,
Stevenson University,5747,
Stillman College,5349,
Stockton University,5483,
Stonehill College,5892,
Stony Brook University,34146,
Suffolk University,8492,
Sul Ross State University,1143,
Sullivan College of Technology and Design,79,
Summit Christian College,7,
SUNY at Albany,22337,
SUNY at Binghamton,30616,
SUNY at Fredonia,5824,
SUNY at Purchase College,7928,
SUNY Buffalo State,13679,
SUNY College at Brockport,9528,
SUNY College at Geneseo,9118,
SUNY College at Old Westbury,4474,
SUNY College at Oswego,10885,
SUNY College at Plattsburgh,8261,
SUNY College at Potsdam,4976,
SUNY College of Agriculture and Technology at Cobleskill,3107,
SUNY College of Environmental Science and Forestry,1619,
SUNY College of Technology at Alfred,4912,
SUNY College of Technology at Canton,2836,
SUNY College of Technology at Delhi,5151,
SUNY Cortland,11060,
SUNY Maritime College,1342,
SUNY Oneonta,11427,
SUNY Polytechnic Institute,2319,
Susquehanna University,5303,
Swarthmore College,7818,
Sweet Briar College,99,
Syracuse City Schools Practical Nursing Program,6,
Syracuse University,33254,
Tabor College,592,
Talmudical Academy-New Jersey,15,
Talmudical Seminary of Bobov,67,
Talmudical Seminary Oholei Torah,45,
Talmudical Yeshiva of Philadelphia,48,
Tarleton State University,9300,
Taylor Business Institute,137,
Taylor University,1716,
TDDS Technical Institute,1431,
Telshe Yeshiva-Chicago,21,
Temple University,28886,
Tennessee Technological University,5786,
Tennessee Wesleyan University,1085,
Texas A & M International University,6407,
Texas A & M University-College Station,33213,
Texas A & M University-Commerce,7195,
Texas A & M University-Corpus Christi,8909,
Texas A & M University-Kingsville,7344,
Texas A&M University-Texarkana,1411,
Texas Christian University,18423,
Texas Lutheran University,1863,
Texas Southern University,10487,
Texas State University,20711,
Texas Tech University,23010,
Texas Wesleyan University,3062,
Texas Woman's University,4772,
Thaddeus Stevens College of Technology,2742,
The Ailey School,161,
The Art Institute of Cincinnati-AIC College of Design,60,
The Baptist College of Florida,138,
The Boston Conservatory,1215,
The Christ College of Nursing and Health Sciences,192,
The College of Idaho,955,
The College of New Jersey,11290,
The College of New Rochelle,1161,
The College of Saint Rose,5599,
The College of Saint Scholastica,3589,
The College of Westchester,779,
The College of Wooster,5748,
The Creative Center,51,
The Evergreen State College,1744,
The Juilliard School,2551,
The King's University,63,
The King’s College,2529,
The Master's University and Seminary,490,
The New England Conservatory of Music,1170,
The New School,7339,
The Restaurant School at Walnut Hill College,367,
The Sage Colleges,2495,
The Southern Baptist Theological Seminary,531,
The University of Alabama,36203,
The University of Findlay,3106,
The University of Montana,5600,
The University of Tampa,18721,
The University of Tennessee-Chattanooga,6752,
The University of Tennessee-Knoxville,17081,
The University of Tennessee-Martin,3400,
The University of Texas at Arlington,10777,
The University of Texas at Austin,42392,
The University of Texas at Dallas,11237,
The University of Texas at El Paso,7134,
The University of Texas at San Antonio,15706,
The University of Texas at Tyler,2468,
The University of Texas of the Permian Basin,1154,
The University of Texas Rio Grande Valley,9055,
The University of the Arts,1608,
The University of Virginia's College at Wise,1042,
The University of West Florida,7104,
Theatre of Arts,27,
Thiel College,2275,
Thomas Aquinas College,189,
Thomas College,1079,
Thomas More College,1531,
Thomas More College of Liberal Arts,34,
Thomas University,361,
Tiffin University,2668,
Toccoa Falls College,759,
Torah Temimah Talmudical Seminary,28,
Tougaloo College,2321,
Touro College,2201,
Towson University,10947,
Transylvania University,1538,
Trevecca Nazarene University,1212,
Tribeca Flashpoint College,291,
Trident University International,78,
Trine University,3217,
Trine University-Arizona Regional Campus,2,
Trinity Baptist College,205,
Trinity Bible College and Graduate School,158,
Trinity Christian College,861,
Trinity College,7569,
Trinity College of Florida,57,
Trinity College of Nursing & Health Sciences,5,
Trinity Health System School of Nursing,2,
Trinity International University-Illinois,561,
Trinity Lutheran College,492,
Trinity University,5563,
Trinity Washington University,941,
Trocaire College,759,
Troy University,5569,
Truett McConnell University,485,
Truman State University,3900,
Tufts University,19063,
Tulane University of Louisiana,26257,
Tusculum College,2091,
Tuskegee University,7529,
Ulster BOCES School of Practical Nursing,105,
Union College,1337,
Union College,1361,
Union College,5996,
Union University,1830,
United States Air Force Academy,9122,
United States Coast Guard Academy,1948,
United States Merchant Marine Academy,1662,
United States Military Academy,14635,
United States Naval Academy,16101,
United Technical Center,25,
Unitek College,271,
Unitek College,276,
Unity College,831,
Universidad Adventista de las Antillas,316,
Universidad Central de Bayamon,748,
Universidad Central Del Caribe,34,
Universidad del Sagrado Corazon,7258,
University at Buffalo,23629,
University of Advancing Technology,644,
University of Akron Main Campus,15166,
University of Alabama at Birmingham,7672,
University of Alabama in Huntsville,3308,
University of Alaska Anchorage,3775,
University of Alaska Fairbanks,1554,
University of Alaska Southeast,458,
University of Arizona,35408,
University of Arkansas,20542,
University of Arkansas at Little Rock,1938,
University of Arkansas at Pine Bluff,4452,
University of Arkansas Community College-Morrilton,1202,
University of Arkansas-Fort Smith,3571,
University of Baltimore,674,
University of Bridgeport,6703,
University of California-Berkeley,78893,
University of California-Davis,64602,
University of California-Irvine,71775,
University of California-Los Angeles,92690,
University of California-Merced,18862,
University of California-Riverside,38511,
University of California-San Diego,78061,
University of California-Santa Barbara,70536,
University of California-Santa Cruz,45532,
University of Central Arkansas,5063,
University of Central Florida,35572,
University of Central Missouri,4818,
University of Central Oklahoma,5122,
University of Charleston,1949,
University of Chicago,30069,
University of Cincinnati-Main Campus,15286,
University of Colorado Boulder,31325,
University of Colorado Colorado Springs,8291,
University of Colorado Denver/Anschutz Medical Campus,8615,
University of Connecticut,34978,
University of Connecticut-Avery Point,251,
University of Connecticut-Stamford,276,
University of Connecticut-Tri-Campus,495,
University of Dallas,2228,
University of Dayton,16968,
University of Delaware,24881,
University of Denver,15036,
University of Detroit Mercy,4453,
University of Dubuque,1457,
University of Evansville,4167,
University of Florida,29220,
University of Florida-Online,617,
University of Georgia,21945,
University of Great Falls,2315,
University of Hartford,15093,
University of Hawaii at Hilo,1541,
University of Hawaii at Manoa,7690,
University of Hawaii-West Oahu,898,
University of Holy Cross,90,
University of Houston,17971,
University of Houston-Clear Lake,1014,
University of Houston-Downtown,3460,
University of Houston-Victoria,4145,
University of Idaho,6212,
University of Illinois at Chicago,15664,
University of Illinois at Springfield,1524,
University of Illinois at Urbana-Champaign,34277,
University of Indianapolis,7216,
University of Iowa,26222,
University of Jamestown,1131,
University of Kansas,15155,
University of Kentucky,18725,
University of La Verne,8179,
University of Louisiana at Lafayette,10897,
University of Louisiana at Monroe,3417,
University of Louisville,9685,
University of Maine,11044,
University of Maine at Farmington,1614,
University of Maine at Fort Kent,215,
University of Maine at Presque Isle,1442,
University of Mary,900,
University of Mary Hardin-Baylor,7504,
University of Mary Washington,5551,
University of Maryland Eastern Shore,7249,
University of Maryland-Baltimore County,10629,
University of Maryland-College Park,28434,
University of Massachusetts-Amherst,40130,
University of Massachusetts-Boston,9365,
University of Massachusetts-Dartmouth,7591,
University of Massachusetts-Lowell,10689,
University of Memphis,16672,
University of Miami,33419,
University of Michigan-Ann Arbor,51797,
University of Michigan-Dearborn,5346,
University of Michigan-Flint,3918,
University of Minnesota-Crookston,1093,
University of Minnesota-Duluth,7499,
University of Minnesota-Morris,3619,
University of Minnesota-Rochester,803,
University of Minnesota-Twin Cities,46165,
University of Mississippi,18059,
University of Missouri-Columbia,21988,
University of Missouri-Kansas City,4428,
University of Missouri-St Louis,1770,
University of Mobile,1180,
University of Montevallo,2024,
University of Mount Olive,2262,
University of Mount Union,2289,
University of Nebraska at Kearney,2511,
University of Nebraska at Omaha,5581,
University of Nebraska-Lincoln,9724,
University of Nevada-Las Vegas,7603,
University of Nevada-Reno,10454,
